Kecamatan,Kelurahan,Konfirmasi_Positif,Konfirmasi_Meninggal,Konfirmasi_Isolasi_Mandiri,Cluster_k3,Zona
Cengkareng,Cengkareng Barat,8676,120,104,1,Merah
Cengkareng,Cengkareng Timur,8926,119,89,1,Merah
Cengkareng,Duri Kosambi,7437,88,81,1,Merah
Cengkareng,Kapuk,9480,189,62,1,Merah
Cengkareng,Kedaung Kali Angke,3146,39,32,2,Hijau
Cengkareng,Rawa Buaya,5648,71,72,0,Kuning
Grogol Petamburan,Grogol,3704,44,53,2,Hijau
Grogol Petamburan,Jelambar,5557,63,89,0,Kuning
Grogol Petamburan,Jelambar Baru,5377,50,84,0,Kuning
Grogol Petamburan,Tanjung Duren Selatan,5138,50,123,0,Kuning
Grogol Petamburan,Tanjung Duren Utara,3869,38,74,2,Hijau
Grogol Petamburan,Tomang,4304,39,93,0,Kuning
Grogol Petamburan,Wijaya Kusuma,4642,56,72,0,Kuning
Kali Deres,Kalideres,7467,99,86,1,Merah
Kali Deres,Kamal,2538,41,28,2,Hijau
Kali Deres,Pegadungan,8462,65,169,1,Merah
Kali Deres,Semanan,3939,56,57,2,Hijau
Kali Deres,Tegal Alur,6774,85,66,1,Merah
Kebon Jeruk,Duri Kepa,8347,87,173,1,Merah
Kebon Jeruk,Kebon Jeruk,8410,94,136,1,Merah
Kebon Jeruk,Kedoya Selatan,4402,59,87,0,Kuning
Kebon Jeruk,Kedoya Utara,5618,61,76,0,Kuning
Kebon Jeruk,Kelapa Dua,3483,44,62,2,Hijau
Kebon Jeruk,Sukabumi Selatan,3377,37,55,2,Hijau
Kebon Jeruk,Sukabumi Utara,4362,51,53,0,Kuning
Palmerah,Jati Pulo,2603,51,34,2,Hijau
Palmerah,Kemanggisan,5113,65,85,0,Kuning
Palmerah,Kota Bambu Selatan,2378,40,13,2,Hijau
Palmerah,Kota Bambu Utara,2252,39,13,2,Hijau
Palmerah,Palmerah,8175,139,91,1,Merah
Palmerah,Slipi,3107,33,24,2,Hijau
